time,ask,bid
2018-08-06 09:10:00,0.89206,0.8919
2018-08-06 09:20:00,0.89193,0.89179
2018-08-06 09:30:00,0.89169,0.89154
2018-08-06 09:40:00,0.89185,0.8917
2018-08-06 09:50:00,0.89184,0.89169
2018-08-06 10:00:00,0.89226,0.8921
2018-08-06 10:10:00,0.89234,0.89218
2018-08-06 10:20:00,0.89226,0.89212
2018-08-06 10:30:00,0.89213,0.89198
2018-08-06 10:40:00,0.89175,0.8916
2018-08-06 10:50:00,0.89206,0.89193
2018-08-06 11:00:00,0.89172,0.89157
2018-08-06 11:10:00,0.89191,0.89176
2018-08-06 11:20:00,0.89208,0.89194
2018-08-06 11:30:00,0.89232,0.89216
2018-08-06 11:40:00,0.89244,0.89226
2018-08-06 11:50:00,0.89243,0.89228
2018-08-06 12:00:00,0.89274,0.8926
2018-08-06 12:10:00,0.8929,0.89275
2018-08-06 12:20:00,0.89311,0.89297
2018-08-06 12:30:00,0.89324,0.89309
2018-08-06 12:40:00,0.89304,0.89289
2018-08-06 12:50:00,0.893,0.89286
2018-08-06 13:00:00,0.89286,0.89271
2018-08-06 13:10:00,0.89246,0.89232
2018-08-06 13:20:00,0.89278,0.89264
2018-08-06 13:30:00,0.89299,0.89285
2018-08-06 13:40:00,0.89291,0.89277
2018-08-06 13:50:00,0.89296,0.89282
2018-08-06 14:00:00,0.89289,0.89274
2018-08-06 14:10:00,0.89281,0.89266
2018-08-06 14:20:00,0.89293,0.89278
2018-08-06 14:30:00,0.89317,0.89303
2018-08-06 14:40:00,0.89301,0.89285
2018-08-06 14:50:00,0.89322,0.89307
2018-08-06 15:00:00,0.89335,0.89321
2018-08-06 15:10:00,0.89322,0.89308
2018-08-06 15:20:00,0.89343,0.89327
2018-08-06 15:30:00,0.89347,0.89331
2018-08-06 15:40:00,0.89318,0.89304
2018-08-06 15:50:00,0.8933,0.89315
2018-08-06 16:00:00,0.89336,0.8932
2018-08-06 16:10:00,0.8934,0.89326
2018-08-06 16:20:00,0.89338,0.89323
2018-08-06 16:30:00,0.89338,0.89322
2018-08-06 16:40:00,0.8934,0.89325
2018-08-06 16:50:00,0.89339,0.89326
2018-08-06 17:00:00,0.89339,0.89325
2018-08-06 17:10:00,0.89325,0.8931
2018-08-06 17:20:00,0.89334,0.89319
2018-08-06 17:30:00,0.89322,0.89306
2018-08-06 17:40:00,0.8931,0.89294
2018-08-06 17:50:00,0.89295,0.89279
2018-08-06 18:00:00,0.8928,0.89265
2018-08-06 18:10:00,0.893,0.89286
2018-08-06 18:20:00,0.89287,0.89271
2018-08-06 18:30:00,0.89294,0.89278
2018-08-06 18:40:00,0.89291,0.89277
2018-08-06 18:50:00,0.89286,0.8927
2018-08-06 19:00:00,0.89289,0.89273
2018-08-06 19:10:00,0.89284,0.89268
2018-08-06 19:20:00,0.89282,0.89266
2018-08-06 19:30:00,0.89286,0.8927
2018-08-06 19:40:00,0.89285,0.89268
2018-08-06 19:50:00,0.89281,0.89265
2018-08-06 20:00:00,0.89284,0.89269
2018-08-06 20:10:00,0.89274,0.89259
2018-08-06 20:20:00,0.89271,0.89255
2018-08-06 20:30:00,0.8927,0.89254
2018-08-06 20:40:00,0.89273,0.89258
2018-08-06 20:50:00,0.89273,0.89238
2018-08-06 21:00:00,0.89309,0.89256
2018-08-06 21:10:00,0.89284,0.89248
2018-08-06 21:20:00,0.89281,0.89239
2018-08-06 21:30:00,0.89278,0.89235
2018-08-06 21:40:00,0.89273,0.89239
2018-08-06 21:50:00,0.89274,0.89234
2018-08-06 22:00:00,0.89278,0.89252
2018-08-06 22:10:00,0.8929,0.89268
2018-08-06 22:20:00,0.89288,0.89265
2018-08-06 22:30:00,0.89295,0.89272
2018-08-06 22:40:00,0.89289,0.89267
2018-08-06 22:50:00,0.89293,0.89273
2018-08-06 23:00:00,0.89292,0.89274
2018-08-06 23:10:00,0.89288,0.8927
2018-08-06 23:20:00,0.89289,0.89272
2018-08-06 23:30:00,0.89291,0.89274
2018-08-06 23:40:00,0.89298,0.89276
2018-08-06 23:50:00,0.89304,0.89285
2018-08-07 00:00:00,0.89312,0.89293
2018-08-07 00:10:00,0.89322,0.89302
2018-08-07 00:20:00,0.89319,0.89298
2018-08-07 00:30:00,0.89317,0.89297
2018-08-07 00:40:00,0.89307,0.89289
2018-08-07 00:50:00,0.89311,0.89292
2018-08-07 01:00:00,0.89319,0.893
2018-08-07 01:10:00,0.89324,0.89305
2018-08-07 01:20:00,0.89333,0.89314
2018-08-07 01:30:00,0.89337,0.89317
2018-08-07 01:40:00,0.89333,0.89315
2018-08-07 01:50:00,0.89337,0.89317
2018-08-07 02:00:00,0.89327,0.89307
2018-08-07 02:10:00,0.89334,0.89315
2018-08-07 02:20:00,0.89326,0.89308
2018-08-07 02:30:00,0.89328,0.8931
2018-08-07 02:40:00,0.89322,0.89307
2018-08-07 02:50:00,0.89323,0.89304
2018-08-07 03:00:00,0.89319,0.89301
2018-08-07 03:10:00,0.89311,0.89294
2018-08-07 03:20:00,0.8931,0.89291
2018-08-07 03:30:00,0.89313,0.89297
2018-08-07 03:40:00,0.89309,0.89292
2018-08-07 03:50:00,0.89304,0.89288
2018-08-07 04:00:00,0.89304,0.89287
2018-08-07 04:10:00,0.89306,0.89289
2018-08-07 04:20:00,0.89304,0.89284
2018-08-07 04:30:00,0.89293,0.89276
2018-08-07 04:40:00,0.89292,0.89273
2018-08-07 04:50:00,0.89288,0.89269
2018-08-07 05:00:00,0.89281,0.89264
2018-08-07 05:10:00,0.89277,0.8926
2018-08-07 05:20:00,0.89278,0.89259
2018-08-07 05:30:00,0.89271,0.89252
2018-08-07 05:40:00,0.89267,0.89251
2018-08-07 05:50:00,0.89265,0.89248
2018-08-07 06:00:00,0.89267,0.8925
2018-08-07 06:10:00,0.89269,0.89253
2018-08-07 06:20:00,0.89287,0.89271
2018-08-07 06:30:00,0.89292,0.89277
2018-08-07 06:40:00,0.89288,0.89272
2018-08-07 06:50:00,0.89289,0.89273
2018-08-07 07:00:00,0.89311,0.89296
2018-08-07 07:10:00,0.89309,0.89294
2018-08-07 07:20:00,0.8932,0.89304
2018-08-07 07:30:00,0.89297,0.89283
2018-08-07 07:40:00,0.89306,0.8929
2018-08-07 07:50:00,0.89344,0.8933
2018-08-07 08:00:00,0.89353,0.89338
2018-08-07 08:10:00,0.89341,0.89325
2018-08-07 08:20:00,0.89356,0.89342
2018-08-07 08:30:00,0.8938,0.89365
2018-08-07 08:40:00,0.89407,0.89393
2018-08-07 08:50:00,0.89365,0.89351
2018-08-07 09:00:00,0.89357,0.89343
2018-08-07 09:10:00,0.89348,0.89334
2018-08-07 09:20:00,0.89376,0.89362
2018-08-07 09:30:00,0.89407,0.89393
2018-08-07 09:40:00,0.89408,0.89394
2018-08-07 09:50:00,0.89398,0.89382
2018-08-07 10:00:00,0.89392,0.89378
2018-08-07 10:10:00,0.89392,0.89377
2018-08-07 10:20:00,0.89399,0.89385
2018-08-07 10:30:00,0.89394,0.89381
2018-08-07 10:40:00,0.89423,0.89408
2018-08-07 10:50:00,0.89454,0.89439
2018-08-07 11:00:00,0.89457,0.89443
2018-08-07 11:10:00,0.8952,0.89505
2018-08-07 11:20:00,0.89491,0.89475
2018-08-07 11:30:00,0.89476,0.89461
2018-08-07 11:40:00,0.89484,0.89468
2018-08-07 11:50:00,0.89499,0.89484
2018-08-07 12:00:00,0.89495,0.89479
2018-08-07 12:10:00,0.89527,0.89511
2018-08-07 12:20:00,0.8954,0.89523
2018-08-07 12:30:00,0.89543,0.89528
